afk_sweep -> /home/ben/PycharmProjects/resonance-lighting/ops/bench/data/ca/2026-06-10-afk-sweep-0031.jsonl
patterns=['RGB', 'W', 'RGBW'] gammas=[0, 1] levels=[0, 16, 32, 48, 64, 96, 128, 160, 192, 224, 255]
floor=2.9 V  max=120.0 min
start: battery_v=3.194 soc=33 supply_v=0.02

cyc g  pat  lvl  LED_mA battINA gauge_mA    bv soc mAh_ina  mAh_g
  2 0  RGB  255   253.7  -413.9 -453.672 3.011  31    17.8   20.1
  2 0    W    0    -1.7  -120.7 -234.219 3.186  31    17.9   20.3
  2 0    W   16     1.4  -125.3  -148.75 3.181  31    18.1   20.5
  2 0    W   32     6.3  -129.8 -130.469  3.19  31    18.2   20.6
  2 0    W   48    10.5  -134.4 -142.891 3.177  31    18.4   20.8
  2 0    W   64    14.3  -138.9 -160.625 3.169  31    18.5   21.0
  2 0    W   96    22.7  -147.8  -126.25 3.184  31    18.7   21.1
  2 0    W  128    31.8  -157.1 -132.891 3.186  31    18.9   21.2
  2 0    W  160    40.8  -165.8 -202.734 3.159  31    19.0   21.5
  2 0    W  192    49.1  -175.7 -155.625 3.168  31    19.2   21.6
  2 0    W  224    58.0  -184.5 -189.766 3.163  31    19.4   21.9
  2 0    W  255    66.3  -193.6 -210.156 3.148  31    19.6   22.1
  2 0 RGBW    0    -1.6  -120.6 -141.328 3.189  31    19.8   22.2
  2 0 RGBW   16    18.4  -140.8 -128.594 3.191  31    19.9   22.4
  2 0 RGBW   32    36.0  -161.5 -230.547 3.131  31    20.1   22.6
  2 0 RGBW   48    54.1  -182.0 -228.438 3.091  31    20.3   22.9
  2 0 RGBW   64    71.8  -203.0 -305.938 3.138  30    20.6   23.3
  2 0 RGBW   96   107.2  -244.6 -317.656 3.078  30    20.8   23.6
  2 0 RGBW  128   143.0  -287.0 -129.141 3.176  30    21.2   23.8
  2 0 RGBW  160   179.2  -329.3 -493.359 2.991  30    21.5   24.3
  2 0 RGBW  192   214.0  -371.0 -294.062 3.085  30    21.9   24.6
  2 0 RGBW  224   251.1  -414.9 -363.672 3.056  30    22.4   25.1
  2 0 RGBW  255   289.1  -461.1 -504.531 2.977  30    22.9   25.6
  2 1  RGB    0    -1.4  -120.9 -131.016 3.186  30    23.1   25.8
  2 1  RGB   16     0.2  -120.8 -129.141 3.189  30    23.2   25.9
  2 1  RGB   32     3.0  -121.7 -129.141 3.184  30    23.3   26.1
  2 1  RGB   48     4.4  -123.8 -132.578 3.182  30    23.5   26.2
  2 1  RGB   64     7.9  -127.9 -124.688 3.189  30    23.6   26.3
  2 1  RGB   96    20.2  -142.7 -129.688 3.189  30    23.8   26.5
  2 1  RGB  128    41.8  -167.5 -226.562 3.108  30    24.0   26.7
  2 1  RGB  160    75.2  -205.9 -361.562 3.075  30    24.2   27.1
  2 1  RGB  192   119.8  -257.5   -427.5 3.021  30    24.5   27.6
  2 1  RGB  224   178.9  -325.8 -356.016 3.101  30    24.8   28.0
  2 1  RGB  255   252.1  -411.1 -445.469 3.011  30    25.3   28.5
  2 1    W    0     2.0  -120.4 -135.234 3.184  30    25.4   28.7
  2 1    W   16    -0.4  -120.8 -128.906 3.189  30    25.6   28.8
  2 1    W   32     2.0  -120.9 -136.016 3.187  30    25.7   29.0
  2 1    W   48     2.5  -121.4 -130.234 3.188  30    25.8   29.1
  2 1    W   64     3.1  -122.8 -148.984 3.188  30    26.0   29.3
  2 1    W   96     2.4  -125.8 -147.188 3.185  30    26.1   29.4
  2 1    W  128     8.7  -132.0 -128.125 3.185  30    26.3   29.6
  2 1    W  160    17.9  -141.9   -162.5 3.177  30    26.4   29.7
  2 1    W  192    29.9  -155.1 -147.969 3.168  30    26.6   29.9
  2 1    W  224    46.2  -172.2 -209.375 3.149  30    26.8   30.2
  2 1    W  255    66.0  -193.6   -212.5 3.143  30    27.0   30.4
  2 1 RGBW    0    -0.1  -120.4 -134.453  3.19  30    27.1   30.5
  2 1 RGBW   16    -3.5  -120.6 -136.562 3.188  30    27.3   30.7
  2 1 RGBW   32     3.0  -121.8 -129.922 3.191  30    27.4   30.8
  2 1 RGBW   48     4.9  -124.2 -129.688 3.189  30    27.5   31.0
  2 1 RGBW   64     8.9  -128.9 -130.469 3.192  30    27.7   31.1
  2 1 RGBW   96    22.8  -145.6 -127.031 3.192  30    27.8   31.3
  2 1 RGBW  128    46.8  -173.0 -135.781 3.153  29    28.0   31.4
  2 1 RGBW  160    83.4  -217.3 -392.266 3.063  29    28.3   31.9
  2 1 RGBW  192   134.7  -276.8 -428.516 2.997  29    28.6   32.3
  2 1 RGBW  224   200.7  -354.6 -488.906 2.995  29    29.0   32.9
  2 1 RGBW  255   285.5  -455.8 -500.234 2.983  29    29.5   33.4
  3 0  RGB    0    -0.7  -120.8 -136.562  3.19  29    29.6   33.6
  3 0  RGB   16    16.1  -138.8 -125.469 3.192  29    29.8   33.7
  3 0  RGB   32    31.8  -156.2 -129.688 3.184  29    30.0   33.9
  3 0  RGB   48    47.2  -173.6 -261.797 3.106  29    30.2   34.2
  3 0  RGB   64    62.9  -192.2 -282.656 3.125  29    30.4   34.5
  3 0  RGB   96    93.6  -227.2 -131.016 3.186  29    30.6   34.7
  3 0  RGB  128   124.1  -262.8 -135.234 3.154  29    30.9   34.8
  3 0  RGB  160   155.8  -300.0 -200.391 3.183  29    31.3   35.0
  3 0  RGB  192   188.3  -336.5 -249.297 3.138  29    31.6   35.3
  3 0  RGB  224   219.0  -373.2 -360.781  3.05  29    32.0   35.7
  3 0  RGB  255   251.5  -411.3 -444.688 3.012  29    32.5   36.2
  3 0    W    0    -0.8  -121.0 -139.766 3.188  29    32.6   36.3
  3 0    W   16     1.0  -125.3 -142.656 3.184  29    32.8   36.5
  3 0    W   32     6.4  -129.6 -132.578 3.186  29    32.9   36.7
  3 0    W   48    10.5  -134.1 -169.688  3.18  29    33.1   36.9
  3 0    W   64    14.0  -138.9 -145.547 3.171  29    33.2   37.0
  3 0    W   96    23.6  -147.8 -128.594 3.191  29    33.4   37.2
  3 0    W  128    31.6  -156.7 -213.047 3.145  29    33.6   37.4
  3 0    W  160    40.4  -165.8 -200.859 3.161  29    33.8   37.6
  3 0    W  192    48.8  -174.9 -204.609  3.16  29    34.0   37.8
  3 0    W  224    57.5  -184.1 -207.266 3.148  29    34.2   38.1
  3 0    W  255    66.0  -193.2 -209.922 3.147  29    34.4   38.3
  3 0 RGBW    0    -5.5  -120.2 -127.578 3.193  29    34.5   38.4
  3 0 RGBW   16    18.2  -140.8 -123.828 3.189  29    34.7   38.6
  3 0 RGBW   32    35.8  -160.9 -265.703 3.142  29    34.9   38.9
  3 0 RGBW   48    53.3  -181.2 -128.125 3.189  29    35.1   39.0
  3 0 RGBW   64    70.8  -201.8 -127.266  3.19  29    35.3   39.2
  3 0 RGBW   96   106.0  -243.1 -157.734 3.138  28    35.6   39.4
  3 0 RGBW  128   140.4  -283.2 -132.344 3.187  28    35.9   39.5
  3 0 RGBW  160   175.4  -325.3 -487.031 2.996  28    36.3   40.1
  3 0 RGBW  192   212.2  -368.7 -393.047 3.062  28    36.7   40.5
  3 0 RGBW  224   246.8  -409.5 -372.109 3.068  28    37.1   40.9
  3 0 RGBW  255   284.0  -453.9  -491.25 2.985  28    37.6   41.5
  3 1  RGB    0     0.1  -120.4 -132.031 3.185  28    37.8   41.6
  3 1  RGB   16     2.0  -120.8   -135.0 3.185  28    37.9   41.8
  3 1  RGB   32     3.0  -121.5 -132.344 3.187  28    38.1   41.9
  3 1  RGB   48     4.1  -123.8 -138.438 3.191  28    38.2   42.1
  3 1  RGB   64     8.0  -127.8 -128.359  3.19  28    38.3   42.2
  3 1  RGB   96    20.2  -142.6 -136.797 3.187  28    38.5   42.4
  3 1  RGB  128    41.9  -167.9 -127.812 3.189  28    38.7   42.5
  3 1  RGB  160    75.0  -205.4 -208.594 3.118  28    38.9   42.8
  3 1  RGB  192   120.2  -258.0 -129.688 3.186  28    39.2   42.9
  3 1  RGB  224   179.3  -326.0 -370.312 3.018  28    39.6   43.3
  3 1  RGB  255   252.0  -410.8 -444.922 3.016  28    40.1   43.8
  3 1    W    0     0.8  -120.5 -130.234 3.188  28    40.2   44.0
  3 1    W   16    -2.9  -120.4 -129.453 3.188  28    40.3   44.1
  3 1    W   32     2.0  -120.6 -129.453 3.191  28    40.5   44.3
  3 1    W   48     2.8  -120.9 -136.328 3.187  28    40.6   44.4
  3 1    W   64     3.1  -122.6 -127.266 3.192  28    40.7   44.6
  3 1    W   96     1.5  -126.0 -143.203 3.187  28    40.9   44.7
  3 1    W  128     8.3  -132.0 -149.531 3.181  28    41.0   44.9
  3 1    W  160    17.5  -141.8 -171.484 3.179  28    41.2   45.1
  3 1    W  192    30.3  -154.9 -207.734  3.15  28    41.3   45.3
  3 1    W  224    46.2  -172.4 -183.672 3.157  28    41.5   45.5
  3 1    W  255    66.0  -193.4 -210.703 3.147  28    41.7   45.8
  3 1 RGBW    0    -5.6  -120.3 -135.469 3.189  28    41.9   45.9
  3 1 RGBW   16    -1.5  -120.0 -128.594 3.193  27    42.0   46.1
  3 1 RGBW   32     3.0  -121.6 -143.438 3.186  27    42.2   46.2
  3 1 RGBW   48     5.0  -124.1 -130.703 3.193  27    42.3   46.4
  3 1 RGBW   64     9.0  -128.6 -129.922 3.172  27    42.4   46.5
  3 1 RGBW   96    22.8  -145.7 -129.688 3.194  27    42.6   46.7
  3 1 RGBW  128    47.0  -173.5 -306.484 3.124  27    42.8   47.0
  3 1 RGBW  160    83.8  -217.0 -128.125 3.189  27    43.1   47.2
  3 1 RGBW  192   135.2  -277.3 -216.797 3.182  27    43.4   47.4
  3 1 RGBW  224   200.8  -355.1 -485.703 2.996  27    43.8   47.9
  3 1 RGBW  255   283.4  -452.9 -490.469 2.988  27    44.3   48.5
  4 0  RGB    0     1.0  -120.8 -127.812 3.188  27    44.4   48.6
  4 0  RGB   16    16.3  -137.8 -155.078 3.159  27    44.6   48.8
  4 0  RGB   32    31.9  -155.9 -130.703 3.189  27    44.7   48.9
  4 0  RGB   48    47.8  -173.9 -269.141 3.113  27    44.9   49.3
  4 0  RGB   64    63.1  -191.8 -164.375 3.146  27    45.1   49.4
  4 0  RGB   96    94.1  -227.4 -365.547 3.042  27    45.4   49.8
  4 0  RGB  128   124.8  -263.3 -170.156 3.189  27    45.7   50.0
  4 0  RGB  160   156.2  -298.9  -351.25 3.101  27    46.0   50.4
  4 0  RGB  192   187.6  -335.5 -414.766 3.059  27    46.4   50.9
  4 0  RGB  224   219.0  -372.5 -452.109 3.012  27    46.8   51.4
  4 0  RGB  255   251.3  -410.6 -443.359 3.015  27    47.3   51.9
  4 0    W    0     1.6  -120.4 -128.594 3.188  27    47.4   52.1
  4 0    W   16     1.4  -125.0 -126.484 3.188  27    47.6   52.2
  4 0    W   32     6.8  -129.3 -124.141  3.19  27    47.7   52.3
  4 0    W   48    10.1  -133.6 -160.156  3.17  27    47.9   52.5
  4 0    W   64    13.3  -139.0 -128.906 3.191  27    48.0   52.7
  4 0    W   96    23.8  -147.5 -156.406  3.17  27    48.2   52.8
  4 0    W  128    31.6  -156.5 -159.844  3.17  27    48.3   53.0
  4 0    W  160    40.2  -165.6 -128.594 3.183  27    48.5   53.2
  4 0    W  192    49.0  -175.0 -159.062 3.169  26    48.7   53.3
  4 0    W  224    57.6  -184.2 -207.734 3.145  26    48.9   53.6
  4 0    W  255    66.0  -193.5 -208.281 3.146  26    49.1   53.8
  4 0 RGBW    0     2.0  -120.1 -129.141 3.191  26    49.3   53.9
  4 0 RGBW   16    18.6  -140.1 -181.797 3.164  26    49.4   54.1
  4 0 RGBW   32    35.9  -160.8 -262.031 3.141  26    49.6   54.4
  4 0 RGBW   48    53.7  -181.6 -133.906  3.16  26    49.8   54.6
  4 0 RGBW   64    71.1  -202.0 -306.484  3.14  26    50.0   54.9
  4 0 RGBW   96   106.4  -243.2 -483.594 3.008  26    50.3   55.5
  4 0 RGBW  128   140.7  -284.2 -417.422 3.048  26    50.6   55.9
