# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,5
# pulse_ms,50
# requested_conversion_hz,80000
# vsns_sample_hz,40318.461
# d7s_sample_hz,40318.461
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3179,12.2924,3050,0,0
-10.2931,12.3166,3056,0,0
-10.2682,12.2602,3042,0,0
-10.2434,12.3609,3067,0,0
-10.2186,12.2965,3051,0,0
-10.1938,12.2763,3046,0,0
-10.1690,12.3166,3056,0,0
-10.1442,12.3488,3064,0,0
-10.1194,12.2803,3047,0,0
-10.0946,12.2682,3044,0,0
-10.0698,12.2360,3036,0,0
-10.0450,12.3166,3056,0,0
-10.0202,12.3045,3053,0,0
-9.9954,12.2602,3042,0,0
-9.9706,12.2199,3032,0,0
-9.9458,12.2844,3048,0,0
-9.9210,12.3206,3057,0,0
-9.8962,12.2924,3050,0,0
-9.8714,12.2803,3047,0,0
-9.8466,12.3932,3075,0,0
-9.8218,12.3126,3055,0,0
-9.7970,12.2844,3048,0,0
-9.7722,12.2521,3040,0,0
-9.7474,12.2844,3048,0,0
-9.7226,12.3206,3057,0,0
-9.6978,12.3206,3057,0,0
-9.6730,12.2924,3050,0,0
-9.6482,12.3126,3055,0,0
-9.6234,12.3005,3052,0,0
-9.5986,12.2320,3035,0,0
-9.5738,12.3247,3058,0,0
-9.5490,12.2844,3048,0,0
-9.5242,12.2521,3040,0,0
-9.4994,12.2763,3046,0,0
-9.4746,12.2481,3039,0,0
-9.4498,12.2521,3040,0,0
-9.4250,12.2924,3050,0,0
-9.4002,12.2844,3048,0,0
-9.3754,12.3166,3056,0,0
-9.3506,12.2521,3040,0,0
-9.3258,12.2924,3050,0,0
-9.3010,12.2803,3047,0,0
-9.2761,12.3247,3058,0,0
-9.2513,12.2844,3048,0,0
-9.2265,12.2320,3035,0,0
-9.2017,12.3569,3066,0,0
-9.1769,12.2602,3042,0,0
-9.1521,12.2844,3048,0,0
-9.1273,12.2602,3042,0,0
-9.1025,12.3529,3065,0,0
-9.0777,12.2481,3039,0,0
-9.0529,12.2521,3040,0,0
-9.0281,12.2924,3050,0,0
-9.0033,12.3771,3071,0,0
-8.9785,12.3005,3052,0,0
-8.9537,12.2763,3046,0,0
-8.9289,12.2602,3042,0,0
-8.9041,12.3126,3055,0,0
-8.8793,12.2602,3042,0,0
-8.8545,12.2320,3035,0,0
-8.8297,12.3085,3054,0,0
-8.8049,12.2844,3048,0,0
-8.7801,12.3126,3055,0,0
-8.7553,12.2602,3042,0,0
-8.7305,12.3529,3065,0,0
-8.7057,12.2481,3039,0,0
-8.6809,12.2803,3047,0,0
-8.6561,12.2481,3039,0,0
-8.6313,12.2481,3039,0,0
-8.6065,12.2239,3033,0,0
-8.5817,12.2239,3033,0,0
-8.5569,12.2602,3042,0,0
-8.5321,12.2602,3042,0,0
-8.5073,12.2602,3042,0,0
-8.4825,12.3126,3055,0,0
-8.4577,12.3408,3062,0,0
-8.4329,12.2682,3044,0,0
-8.4081,12.2803,3047,0,0
-8.3833,12.3126,3055,0,0
-8.3585,12.2803,3047,0,0
-8.3337,12.3126,3055,0,0
-8.3088,12.2199,3032,0,0
-8.2840,12.2682,3044,0,0
-8.2592,12.3206,3057,0,0
-8.2344,12.2682,3044,0,0
-8.2096,12.2521,3040,0,0
-8.1848,12.2763,3046,0,0
-8.1600,12.3206,3057,0,0
-8.1352,12.2682,3044,0,0
-8.1104,12.2723,3045,0,0
-8.0856,12.3488,3064,0,0
-8.0608,12.2521,3040,0,0
-8.0360,12.2844,3048,0,0
-8.0112,12.3126,3055,0,0
-7.9864,12.2602,3042,0,0
-7.9616,12.2602,3042,0,0
-7.9368,12.2844,3048,0,0
-7.9120,12.3327,3060,0,0
-7.8872,12.2965,3051,0,0
-7.8624,12.3206,3057,0,0
-7.8376,12.2682,3044,0,0
-7.8128,12.2682,3044,0,0
-7.7880,12.2803,3047,0,0
-7.7632,12.3126,3055,0,0
-7.7384,12.2924,3050,0,0
-7.7136,12.2844,3048,0,0
-7.6888,12.2803,3047,0,0
-7.6640,12.3005,3052,0,0
-7.6392,12.3247,3058,0,0
-7.6144,12.2602,3042,0,0
-7.5896,12.2521,3040,0,0
-7.5648,12.2521,3040,0,0
-7.5400,12.3327,3060,0,0
-7.5152,12.3529,3065,0,0
-7.4904,12.2239,3033,0,0
-7.4656,12.2763,3046,0,0
-7.4408,12.2441,3038,0,0
-7.4160,12.2602,3042,0,0
-7.3912,12.2763,3046,0,0
-7.3664,12.2682,3044,0,0
-7.3415,12.2239,3033,0,0
-7.3167,12.2844,3048,0,0
-7.2919,12.2682,3044,0,0
-7.2671,12.2521,3040,0,0
-7.2423,12.2763,3046,0,0
-7.2175,12.2763,3046,0,0
-7.1927,12.2441,3038,0,0
-7.1679,12.2844,3048,0,0
-7.1431,12.2763,3046,0,0
-7.1183,12.2844,3048,0,0
-7.0935,12.2521,3040,0,0
-7.0687,12.2844,3048,0,0
-7.0439,12.3206,3057,0,0
-7.0191,12.2924,3050,0,0
-6.9943,12.3126,3055,0,0
-6.9695,12.2803,3047,0,0
-6.9447,12.3085,3054,0,0
-6.9199,12.2481,3039,0,0
-6.8951,12.2602,3042,0,0
-6.8703,12.3166,3056,0,0
-6.8455,12.3448,3063,0,0
-6.8207,12.2441,3038,0,0
-6.7959,12.2521,3040,0,0
-6.7711,12.3287,3059,0,0
-6.7463,12.3126,3055,0,0
-6.7215,12.2360,3036,0,0
-6.6967,12.3085,3054,0,0
-6.6719,12.2803,3047,0,0
-6.6471,12.2844,3048,0,0
-6.6223,12.2682,3044,0,0
-6.5975,12.2924,3050,0,0
-6.5727,12.2481,3039,0,0
-6.5479,12.2803,3047,0,0
-6.5231,12.2481,3039,0,0
-6.4983,12.2844,3048,0,0
-6.4735,12.3609,3067,0,0
-6.4487,12.2723,3045,0,0
-6.4239,12.2602,3042,0,0
-6.3991,12.2602,3042,0,0
-6.3743,12.3085,3054,0,0
-6.3494,12.2803,3047,0,0
-6.3246,12.2360,3036,0,0
-6.2998,12.2763,3046,0,0
-6.2750,12.2763,3046,0,0
-6.2502,12.2320,3035,0,0
-6.2254,12.2682,3044,0,0
-6.2006,12.2844,3048,0,0
-6.1758,12.2682,3044,0,0
-6.1510,12.2844,3048,0,0
-6.1262,12.2521,3040,0,0
-6.1014,12.2965,3051,0,0
-6.0766,12.3206,3057,0,0
-6.0518,12.3126,3055,0,0
-6.0270,12.2844,3048,0,0
-6.0022,12.2924,3050,0,0
-5.9774,12.2803,3047,0,0
-5.9526,12.2360,3036,0,0
-5.9278,12.3005,3052,0,0
-5.9030,12.3206,3057,0,0
-5.8782,12.2682,3044,0,0
-5.8534,12.1997,3027,0,0
-5.8286,12.2924,3050,0,0
-5.8038,12.3005,3052,0,0
-5.7790,12.2844,3048,0,0
-5.7542,12.2521,3040,0,0
-5.7294,12.2521,3040,0,0
-5.7046,12.2320,3035,0,0
-5.6798,12.2602,3042,0,0
-5.6550,12.2360,3036,0,0
-5.6302,12.2803,3047,0,0
-5.6054,12.2844,3048,0,0
-5.5806,12.2763,3046,0,0
-5.5558,12.3005,3052,0,0
-5.5310,12.3569,3066,0,0
-5.5062,12.2803,3047,0,0
-5.4814,12.3166,3056,0,0
-5.4566,12.2682,3044,0,0
-5.4318,12.3206,3057,0,0
-5.4070,12.2844,3048,0,0
-5.3821,12.2279,3034,0,0
-5.3573,12.2924,3050,0,0
-5.3325,12.2602,3042,0,0
-5.3077,12.2803,3047,0,0
-5.2829,12.2441,3038,0,0
-5.2581,12.2521,3040,0,0
-5.2333,12.2924,3050,0,0
-5.2085,12.2844,3048,0,0
-5.1837,12.3206,3057,0,0
-5.1589,12.4456,3088,0,0
-5.1341,12.3529,3065,0,0
-5.1093,12.2521,3040,0,0
-5.0845,12.3206,3057,0,0
-5.0597,12.2763,3046,0,0
-5.0349,12.2844,3048,0,0
-5.0101,12.2924,3050,0,0
-4.9853,12.2924,3050,0,0
-4.9605,12.3609,3067,0,0
-4.9357,12.2763,3046,0,0
-4.9109,12.2803,3047,0,0
-4.8861,12.2481,3039,0,0
-4.8613,12.2844,3048,0,0
-4.8365,12.3488,3064,0,0
-4.8117,12.3247,3058,0,0
-4.7869,12.2803,3047,0,0
-4.7621,12.3327,3060,0,0
-4.7373,12.2803,3047,0,0
-4.7125,12.3247,3058,0,0
-4.6877,12.2844,3048,0,0
-4.6629,12.2844,3048,0,0
-4.6381,12.2481,3039,0,0
-4.6133,12.2521,3040,0,0
-4.5885,12.2803,3047,0,0
-4.5637,12.2844,3048,0,0
-4.5389,12.2682,3044,0,0
-4.5141,12.2521,3040,0,0
-4.4893,12.3085,3054,0,0
-4.4645,12.3206,3057,0,0
-4.4397,12.2521,3040,0,0
-4.4149,12.2844,3048,0,0
-4.3900,12.3529,3065,0,0
-4.3652,12.3005,3052,0,0
-4.3404,12.2844,3048,0,0
-4.3156,12.2441,3038,0,0
-4.2908,12.2844,3048,0,0
-4.2660,12.2481,3039,0,0
-4.2412,12.2441,3038,0,0
-4.2164,12.2844,3048,0,0
-4.1916,12.3811,3072,0,0
-4.1668,12.2803,3047,0,0
-4.1420,12.2682,3044,0,0
-4.1172,12.2844,3048,0,0
-4.0924,12.3206,3057,0,0
-4.0676,12.3085,3054,0,0
-4.0428,12.2844,3048,0,0
-4.0180,12.2521,3040,0,0
-3.9932,12.3166,3056,0,0
-3.9684,12.2803,3047,0,0
-3.9436,12.3166,3056,0,0
-3.9188,12.2521,3040,0,0
-3.8940,12.2803,3047,0,0
-3.8692,12.3247,3058,0,0
-3.8444,12.2803,3047,0,0
-3.8196,12.2682,3044,0,0
-3.7948,12.2803,3047,0,0
-3.7700,12.3126,3055,0,0
-3.7452,12.2602,3042,0,0
-3.7204,12.2844,3048,0,0
-3.6956,12.2602,3042,0,0
-3.6708,12.2521,3040,0,0
-3.6460,12.2803,3047,0,0
-3.6212,12.3005,3052,0,0
-3.5964,12.3569,3066,0,0
-3.5716,12.2682,3044,0,0
-3.5468,12.2521,3040,0,0
-3.5220,12.2521,3040,0,0
-3.4972,12.2602,3042,0,0
-3.4724,12.2924,3050,0,0
-3.4476,12.3126,3055,0,0
-3.4227,12.2320,3035,0,0
-3.3979,12.3287,3059,0,0
-3.3731,12.3085,3054,0,0
-3.3483,12.2360,3036,0,0
-3.3235,12.2924,3050,0,0
-3.2987,12.3206,3057,0,0
-3.2739,12.2924,3050,0,0
-3.2491,12.2924,3050,0,0
-3.2243,12.2360,3036,0,0
-3.1995,12.2803,3047,0,0
-3.1747,12.2803,3047,0,0
-3.1499,12.2682,3044,0,0
-3.1251,12.2602,3042,0,0
-3.1003,12.3287,3059,0,0
-3.0755,12.2924,3050,0,0
-3.0507,12.2763,3046,0,0
-3.0259,12.2602,3042,0,0
-3.0011,12.3730,3070,0,0
-2.9763,12.3005,3052,0,0
-2.9515,12.2803,3047,0,0
-2.9267,12.2844,3048,0,0
-2.9019,12.2602,3042,0,0
-2.8771,12.2803,3047,0,0
-2.8523,12.2199,3032,0,0
-2.8275,12.2602,3042,0,0
-2.8027,12.3085,3054,0,0
-2.7779,12.3085,3054,0,0
-2.7531,12.2682,3044,0,0
-2.7283,12.3085,3054,0,0
-2.7035,12.3448,3063,0,0
-2.6787,12.2803,3047,0,0
-2.6539,12.2521,3040,0,0
-2.6291,12.2803,3047,0,0
-2.6043,12.3206,3057,0,0
-2.5795,12.2924,3050,0,0
-2.5547,12.1997,3027,0,0
-2.5299,12.2844,3048,0,0
-2.5051,12.2844,3048,0,0
-2.4803,12.2602,3042,0,0
-2.4555,12.3005,3052,0,0
-2.4306,12.2965,3051,0,0
-2.4058,12.3569,3066,0,0
-2.3810,12.2481,3039,0,0
-2.3562,12.2803,3047,0,0
-2.3314,12.2682,3044,0,0
-2.3066,12.2521,3040,0,0
-2.2818,12.3126,3055,0,0
-2.2570,12.2803,3047,0,0
-2.2322,12.3166,3056,0,0
-2.2074,12.3085,3054,0,0
-2.1826,12.3529,3065,0,0
-2.1578,12.2481,3039,0,0
-2.1330,12.2844,3048,0,0
-2.1082,12.2521,3040,0,0
-2.0834,12.2803,3047,0,0
-2.0586,12.2844,3048,0,0
-2.0338,12.3771,3071,0,0
-2.0090,12.2239,3033,0,0
-1.9842,12.2924,3050,0,0
-1.9594,12.2803,3047,0,0
-1.9346,12.2763,3046,0,0
-1.9098,12.2924,3050,0,0
-1.8850,12.2320,3035,0,0
-1.8602,12.2763,3046,0,0
-1.8354,12.2602,3042,0,0
-1.8106,12.3247,3058,0,0
-1.7858,12.3166,3056,0,0
-1.7610,12.2521,3040,0,0
-1.7362,12.3085,3054,0,0
-1.7114,12.2602,3042,0,0
-1.6866,12.2844,3048,0,0
-1.6618,12.2803,3047,0,0
-1.6370,12.3206,3057,0,0
-1.6122,12.2803,3047,0,0
-1.5874,12.2682,3044,0,0
-1.5626,12.3448,3063,0,0
-1.5378,12.3529,3065,0,0
-1.5130,12.2602,3042,0,0
-1.4882,12.2521,3040,0,0
-1.4633,12.3126,3055,0,0
-1.4385,12.3045,3053,0,0
-1.4137,12.2682,3044,0,0
-1.3889,12.2965,3051,0,0
-1.3641,12.2844,3048,0,0
-1.3393,12.2844,3048,0,0
-1.3145,12.3206,3057,0,0
-1.2897,12.2763,3046,0,0
-1.2649,12.3327,3060,0,0
-1.2401,12.3206,3057,0,0
-1.2153,12.3488,3064,0,0
-1.1905,12.2481,3039,0,0
