# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,4
# pulse_ms,35
# requested_conversion_hz,80000
# vsns_sample_hz,40318.875
# d7s_sample_hz,40318.875
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3177,12.3005,3052,0,0
-10.2929,12.3206,3057,0,0
-10.2681,12.3045,3053,0,0
-10.2433,12.3327,3060,0,0
-10.2185,12.2763,3046,0,0
-10.1937,12.2602,3042,0,0
-10.1689,12.2521,3040,0,0
-10.1441,12.3085,3054,0,0
-10.1193,12.2803,3047,0,0
-10.0945,12.3045,3053,0,0
-10.0697,12.2682,3044,0,0
-10.0449,12.2441,3038,0,0
-10.0201,12.2441,3038,0,0
-9.9953,12.2844,3048,0,0
-9.9705,12.3085,3054,0,0
-9.9457,12.2199,3032,0,0
-9.9209,12.2602,3042,0,0
-9.8961,12.3085,3054,0,0
-9.8713,12.2521,3040,0,0
-9.8465,12.2521,3040,0,0
-9.8217,12.2602,3042,0,0
-9.7969,12.2763,3046,0,0
-9.7721,12.2521,3040,0,0
-9.7473,12.2844,3048,0,0
-9.7225,12.2763,3046,0,0
-9.6977,12.3206,3057,0,0
-9.6729,12.2481,3039,0,0
-9.6481,12.2803,3047,0,0
-9.6233,12.2602,3042,0,0
-9.5985,12.2682,3044,0,0
-9.5737,12.2924,3050,0,0
-9.5489,12.2320,3035,0,0
-9.5241,12.3126,3055,0,0
-9.4993,12.2602,3042,0,0
-9.4745,12.3045,3053,0,0
-9.4497,12.3166,3056,0,0
-9.4249,12.2844,3048,0,0
-9.4001,12.3166,3056,0,0
-9.3753,12.2803,3047,0,0
-9.3505,12.3166,3056,0,0
-9.3257,12.2844,3048,0,0
-9.3009,12.3085,3054,0,0
-9.2761,12.3206,3057,0,0
-9.2513,12.2723,3045,0,0
-9.2264,12.2602,3042,0,0
-9.2016,12.2924,3050,0,0
-9.1768,12.3529,3065,0,0
-9.1520,12.3005,3052,0,0
-9.1272,12.2844,3048,0,0
-9.1024,12.2803,3047,0,0
-9.0776,12.3166,3056,0,0
-9.0528,12.2803,3047,0,0
-9.0280,12.3206,3057,0,0
-9.0032,12.2199,3032,0,0
-8.9784,12.2521,3040,0,0
-8.9536,12.2803,3047,0,0
-8.9288,12.2844,3048,0,0
-8.9040,12.2481,3039,0,0
-8.8792,12.3206,3057,0,0
-8.8544,12.3166,3056,0,0
-8.8296,12.2803,3047,0,0
-8.8048,12.2360,3036,0,0
-8.7800,12.3126,3055,0,0
-8.7552,12.2844,3048,0,0
-8.7304,12.2682,3044,0,0
-8.7056,12.2521,3040,0,0
-8.6808,12.3166,3056,0,0
-8.6560,12.2803,3047,0,0
-8.6312,12.2602,3042,0,0
-8.6064,12.2602,3042,0,0
-8.5816,12.2924,3050,0,0
-8.5568,12.2481,3039,0,0
-8.5320,12.2844,3048,0,0
-8.5072,12.4133,3080,0,0
-8.4824,12.3287,3059,0,0
-8.4576,12.2763,3046,0,0
-8.4328,12.2521,3040,0,0
-8.4080,12.2481,3039,0,0
-8.3832,12.2803,3047,0,0
-8.3584,12.2844,3048,0,0
-8.3336,12.2602,3042,0,0
-8.3088,12.3206,3057,0,0
-8.2840,12.2844,3048,0,0
-8.2592,12.2803,3047,0,0
-8.2344,12.2844,3048,0,0
-8.2096,12.2803,3047,0,0
-8.1848,12.2924,3050,0,0
-8.1600,12.2803,3047,0,0
-8.1351,12.2521,3040,0,0
-8.1103,12.3126,3055,0,0
-8.0855,12.2602,3042,0,0
-8.0607,12.2481,3039,0,0
-8.0359,12.2441,3038,0,0
-8.0111,12.3206,3057,0,0
-7.9863,12.2682,3044,0,0
-7.9615,12.3085,3054,0,0
-7.9367,12.2682,3044,0,0
-7.9119,12.2521,3040,0,0
-7.8871,12.3045,3053,0,0
-7.8623,12.2602,3042,0,0
-7.8375,12.2844,3048,0,0
-7.8127,12.2844,3048,0,0
-7.7879,12.3166,3056,0,0
-7.7631,12.2844,3048,0,0
-7.7383,12.2803,3047,0,0
-7.7135,12.3206,3057,0,0
-7.6887,12.2602,3042,0,0
-7.6639,12.3166,3056,0,0
-7.6391,12.2924,3050,0,0
-7.6143,12.2763,3046,0,0
-7.5895,12.2481,3039,0,0
-7.5647,12.2924,3050,0,0
-7.5399,12.3529,3065,0,0
-7.5151,12.3045,3053,0,0
-7.4903,12.2844,3048,0,0
-7.4655,12.2803,3047,0,0
-7.4407,12.3166,3056,0,0
-7.4159,12.2481,3039,0,0
-7.3911,12.2441,3038,0,0
-7.3663,12.2844,3048,0,0
-7.3415,12.3085,3054,0,0
-7.3167,12.3085,3054,0,0
-7.2919,12.2521,3040,0,0
-7.2671,12.3206,3057,0,0
-7.2423,12.3206,3057,0,0
-7.2175,12.3166,3056,0,0
-7.1927,12.2965,3051,0,0
-7.1679,12.2803,3047,0,0
-7.1431,12.2844,3048,0,0
-7.1183,12.2521,3040,0,0
-7.0935,12.2682,3044,0,0
-7.0686,12.2803,3047,0,0
-7.0438,12.2682,3044,0,0
-7.0190,12.2481,3039,0,0
-6.9942,12.2844,3048,0,0
-6.9694,12.3488,3064,0,0
-6.9446,12.3085,3054,0,0
-6.9198,12.2521,3040,0,0
-6.8950,12.2844,3048,0,0
-6.8702,12.2844,3048,0,0
-6.8454,12.3166,3056,0,0
-6.8206,12.2602,3042,0,0
-6.7958,12.2803,3047,0,0
-6.7710,12.2803,3047,0,0
-6.7462,12.2521,3040,0,0
-6.7214,12.2965,3051,0,0
-6.6966,12.2803,3047,0,0
-6.6718,12.2521,3040,0,0
-6.6470,12.2763,3046,0,0
-6.6222,12.2682,3044,0,0
-6.5974,12.2602,3042,0,0
-6.5726,12.2844,3048,0,0
-6.5478,12.3085,3054,0,0
-6.5230,12.2602,3042,0,0
-6.4982,12.2844,3048,0,0
-6.4734,12.2844,3048,0,0
-6.4486,12.2239,3033,0,0
-6.4238,12.2844,3048,0,0
-6.3990,12.2682,3044,0,0
-6.3742,12.2763,3046,0,0
-6.3494,12.2803,3047,0,0
-6.3246,12.2682,3044,0,0
-6.2998,12.2682,3044,0,0
-6.2750,12.2763,3046,0,0
-6.2502,12.2521,3040,0,0
-6.2254,12.2844,3048,0,0
-6.2006,12.3085,3054,0,0
-6.1758,12.2441,3038,0,0
-6.1510,12.2844,3048,0,0
-6.1262,12.3085,3054,0,0
-6.1014,12.2441,3038,0,0
-6.0766,12.2803,3047,0,0
-6.0518,12.2924,3050,0,0
-6.0270,12.2965,3051,0,0
-6.0022,12.2521,3040,0,0
-5.9773,12.2602,3042,0,0
-5.9525,12.2602,3042,0,0
-5.9277,12.2803,3047,0,0
-5.9029,12.3327,3060,0,0
-5.8781,12.2803,3047,0,0
-5.8533,12.3448,3063,0,0
-5.8285,12.2199,3032,0,0
-5.8037,12.2481,3039,0,0
-5.7789,12.2803,3047,0,0
-5.7541,12.3206,3057,0,0
-5.7293,12.2965,3051,0,0
-5.7045,12.2803,3047,0,0
-5.6797,12.2199,3032,0,0
-5.6549,12.2803,3047,0,0
-5.6301,12.2602,3042,0,0
-5.6053,12.2481,3039,0,0
-5.5805,12.3085,3054,0,0
-5.5557,12.3206,3057,0,0
-5.5309,12.3085,3054,0,0
-5.5061,12.2682,3044,0,0
-5.4813,12.3166,3056,0,0
-5.4565,12.2602,3042,0,0
-5.4317,12.2481,3039,0,0
-5.4069,12.3287,3059,0,0
-5.3821,12.2481,3039,0,0
-5.3573,12.2521,3040,0,0
-5.3325,12.2682,3044,0,0
-5.3077,12.3529,3065,0,0
-5.2829,12.2763,3046,0,0
-5.2581,12.3327,3060,0,0
-5.2333,12.3085,3054,0,0
-5.2085,12.2924,3050,0,0
-5.1837,12.3166,3056,0,0
-5.1589,12.2521,3040,0,0
-5.1341,12.3287,3059,0,0
-5.1093,12.2521,3040,0,0
-5.0845,12.2239,3033,0,0
-5.0597,12.2481,3039,0,0
-5.0349,12.2481,3039,0,0
-5.0101,12.3206,3057,0,0
-4.9853,12.2763,3046,0,0
-4.9605,12.2320,3035,0,0
-4.9357,12.3287,3059,0,0
-4.9109,12.3206,3057,0,0
