# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,3
# pulse_ms,12
# requested_conversion_hz,80000
# vsns_sample_hz,40318.504
# d7s_sample_hz,40318.504
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3178,12.2844,3048,0,0
-10.2930,12.2803,3047,0,0
-10.2682,12.3569,3066,0,0
-10.2434,12.2521,3040,0,0
-10.2186,12.2924,3050,0,0
-10.1938,12.3005,3052,0,0
-10.1690,12.2602,3042,0,0
-10.1442,12.3529,3065,0,0
-10.1194,12.3206,3057,0,0
-10.0946,12.2924,3050,0,0
-10.0698,12.2521,3040,0,0
-10.0450,12.2441,3038,0,0
-10.0202,12.1997,3027,0,0
-9.9954,12.2199,3032,0,0
-9.9706,12.3287,3059,0,0
-9.9458,12.2763,3046,0,0
-9.9210,12.2239,3033,0,0
-9.8962,12.2803,3047,0,0
-9.8714,12.2844,3048,0,0
-9.8466,12.2521,3040,0,0
-9.8218,12.2803,3047,0,0
-9.7970,12.2844,3048,0,0
-9.7722,12.2481,3039,0,0
-9.7474,12.3206,3057,0,0
-9.7226,12.3005,3052,0,0
-9.6978,12.2682,3044,0,0
-9.6730,12.2521,3040,0,0
-9.6482,12.2924,3050,0,0
-9.6234,12.2924,3050,0,0
-9.5986,12.2441,3038,0,0
-9.5738,12.2844,3048,0,0
-9.5490,12.3488,3064,0,0
-9.5242,12.2844,3048,0,0
-9.4994,12.3287,3059,0,0
-9.4746,12.3045,3053,0,0
-9.4498,12.4133,3080,0,0
-9.4250,12.2481,3039,0,0
-9.4002,12.3045,3053,0,0
-9.3753,12.2723,3045,0,0
-9.3505,12.2320,3035,0,0
-9.3257,12.3166,3056,0,0
-9.3009,12.2723,3045,0,0
-9.2761,12.2360,3036,0,0
-9.2513,12.3287,3059,0,0
-9.2265,12.2521,3040,0,0
-9.2017,12.3126,3055,0,0
-9.1769,12.2965,3051,0,0
-9.1521,12.2924,3050,0,0
-9.1273,12.2803,3047,0,0
-9.1025,12.2924,3050,0,0
-9.0777,12.2723,3045,0,0
-9.0529,12.2803,3047,0,0
-9.0281,12.2602,3042,0,0
-9.0033,12.2199,3032,0,0
-8.9785,12.2682,3044,0,0
-8.9537,12.2682,3044,0,0
-8.9289,12.3206,3057,0,0
-8.9041,12.2803,3047,0,0
-8.8793,12.2763,3046,0,0
-8.8545,12.2682,3044,0,0
-8.8297,12.3771,3071,0,0
-8.8049,12.2763,3046,0,0
-8.7801,12.2844,3048,0,0
-8.7553,12.3005,3052,0,0
-8.7305,12.2844,3048,0,0
-8.7057,12.2521,3040,0,0
-8.6809,12.3085,3054,0,0
-8.6561,12.2723,3045,0,0
-8.6313,12.3932,3075,0,0
-8.6065,12.2481,3039,0,0
-8.5817,12.2481,3039,0,0
-8.5569,12.3166,3056,0,0
-8.5321,12.2803,3047,0,0
-8.5073,12.2803,3047,0,0
-8.4825,12.3005,3052,0,0
-8.4577,12.2682,3044,0,0
-8.4329,12.2521,3040,0,0
-8.4081,12.3126,3055,0,0
-8.3832,12.2924,3050,0,0
-8.3584,12.3206,3057,0,0
-8.3336,12.2763,3046,0,0
-8.3088,12.2763,3046,0,0
-8.2840,12.2803,3047,0,0
-8.2592,12.2803,3047,0,0
-8.2344,12.2602,3042,0,0
-8.2096,12.2803,3047,0,0
-8.1848,12.3811,3072,0,0
-8.1600,12.2763,3046,0,0
