# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.3
# capture_id,1
# pulse_ms,20
# requested_conversion_hz,80000
# vsns_sample_hz,40216.551
# d7s_sample_hz,40216.551
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3440,12.3811,3072,0,0
-10.3191,12.3569,3066,0,0
-10.2943,12.3529,3065,0,0
-10.2694,12.3085,3054,0,0
-10.2445,12.3488,3064,0,0
-10.2197,12.2763,3046,0,0
-10.1948,12.3851,3073,0,0
-10.1699,12.3529,3065,0,0
-10.1451,12.2803,3047,0,0
-10.1202,12.2521,3040,0,0
-10.0953,12.2803,3047,0,0
-10.0705,12.2924,3050,0,0
-10.0456,12.3206,3057,0,0
-10.0208,12.3166,3056,0,0
-9.9959,12.2924,3050,0,0
-9.9710,12.2844,3048,0,0
-9.9462,12.2844,3048,0,0
-9.9213,12.3166,3056,0,0
-9.8964,12.3206,3057,0,0
-9.8716,12.2924,3050,0,0
-9.8467,12.2360,3036,0,0
-9.8218,12.2481,3039,0,0
-9.7970,12.3448,3063,0,0
-9.7721,12.3005,3052,0,0
-9.7472,12.3488,3064,0,0
-9.7224,12.2521,3040,0,0
-9.6975,12.2844,3048,0,0
-9.6726,12.2521,3040,0,0
-9.6478,12.2844,3048,0,0
-9.6229,12.2803,3047,0,0
-9.5980,12.3045,3053,0,0
-9.5732,12.3166,3056,0,0
-9.5483,12.2803,3047,0,0
-9.5234,12.3166,3056,0,0
-9.4986,12.2803,3047,0,0
-9.4737,12.3609,3067,0,0
-9.4488,12.3488,3064,0,0
-9.4240,12.2844,3048,0,0
-9.3991,12.2844,3048,0,0
-9.3743,12.2844,3048,0,0
-9.3494,12.3287,3059,0,0
-9.3245,12.3529,3065,0,0
-9.2997,12.2803,3047,0,0
-9.2748,12.3287,3059,0,0
-9.2499,12.2360,3036,0,0
-9.2251,12.3126,3055,0,0
-9.2002,12.2763,3046,0,0
-9.1753,12.3488,3064,0,0
