# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,1
# pulse_ms,20
# requested_conversion_hz,80000
# vsns_sample_hz,40318.762
# d7s_sample_hz,40318.762
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3178,12.2844,3048,0,0
-10.2930,12.3327,3060,0,0
-10.2682,12.2844,3048,0,0
-10.2434,12.2924,3050,0,0
-10.2186,12.3488,3064,0,0
-10.1938,12.3005,3052,0,0
-10.1690,12.3005,3052,0,0
-10.1442,12.2924,3050,0,0
-10.1194,12.2965,3051,0,0
-10.0946,12.3690,3069,0,0
-10.0698,12.3166,3056,0,0
-10.0450,12.3166,3056,0,0
-10.0201,12.3126,3055,0,0
-9.9953,12.3488,3064,0,0
-9.9705,12.2602,3042,0,0
-9.9457,12.2521,3040,0,0
-9.9209,12.3690,3069,0,0
-9.8961,12.2602,3042,0,0
-9.8713,12.3126,3055,0,0
-9.8465,12.3166,3056,0,0
-9.8217,12.3609,3067,0,0
-9.7969,12.3488,3064,0,0
-9.7721,12.2924,3050,0,0
-9.7473,12.2763,3046,0,0
-9.7225,12.2602,3042,0,0
-9.6977,12.2924,3050,0,0
-9.6729,12.3488,3064,0,0
-9.6481,12.2803,3047,0,0
-9.6233,12.2602,3042,0,0
-9.5985,12.2602,3042,0,0
-9.5737,12.3488,3064,0,0
-9.5489,12.2803,3047,0,0
-9.5241,12.3529,3065,0,0
-9.4993,12.3206,3057,0,0
-9.4745,12.2602,3042,0,0
-9.4497,12.3529,3065,0,0
-9.4249,12.3287,3059,0,0
-9.4001,12.3488,3064,0,0
-9.3753,12.3166,3056,0,0
-9.3505,12.2763,3046,0,0
-9.3257,12.2521,3040,0,0
-9.3009,12.3247,3058,0,0
-9.2761,12.2924,3050,0,0
-9.2513,12.2481,3039,0,0
-9.2265,12.3166,3056,0,0
-9.2017,12.3085,3054,0,0
-9.1769,12.2803,3047,0,0
-9.1521,12.2602,3042,0,0
-9.1273,12.2844,3048,0,0
-9.1025,12.3488,3064,0,0
-9.0777,12.3690,3069,0,0
-9.0529,12.2763,3046,0,0
-9.0281,12.3287,3059,0,0
-9.0033,12.3005,3052,0,0
-8.9785,12.3327,3060,0,0
-8.9536,12.3206,3057,0,0
-8.9288,12.2844,3048,0,0
-8.9040,12.3085,3054,0,0
-8.8792,12.2803,3047,0,0
-8.8544,12.2763,3046,0,0
-8.8296,12.2602,3042,0,0
-8.8048,12.2803,3047,0,0
-8.7800,12.2602,3042,0,0
-8.7552,12.3569,3066,0,0
-8.7304,12.2924,3050,0,0
-8.7056,12.2924,3050,0,0
-8.6808,12.2521,3040,0,0
-8.6560,12.3206,3057,0,0
-8.6312,12.3126,3055,0,0
-8.6064,12.2682,3044,0,0
-8.5816,12.3609,3067,0,0
-8.5568,12.3287,3059,0,0
-8.5320,12.3166,3056,0,0
-8.5072,12.2320,3035,0,0
-8.4824,12.3005,3052,0,0
-8.4576,12.2803,3047,0,0
-8.4328,12.3287,3059,0,0
-8.4080,12.2320,3035,0,0
-8.3832,12.2844,3048,0,0
-8.3584,12.3488,3064,0,0
-8.3336,12.2763,3046,0,0
-8.3088,12.3045,3053,0,0
-8.2840,12.2521,3040,0,0
-8.2592,12.2844,3048,0,0
-8.2344,12.3287,3059,0,0
-8.2096,12.2763,3046,0,0
-8.1848,12.2803,3047,0,0
-8.1600,12.2602,3042,0,0
-8.1352,12.2602,3042,0,0
-8.1104,12.2521,3040,0,0
-8.0856,12.2521,3040,0,0
-8.0608,12.3488,3064,0,0
-8.0360,12.2924,3050,0,0
-8.0112,12.2763,3046,0,0
-7.9864,12.2844,3048,0,0
-7.9616,12.2965,3051,0,0
-7.9368,12.3206,3057,0,0
-7.9119,12.3206,3057,0,0
-7.8871,12.2723,3045,0,0
-7.8623,12.3166,3056,0,0
-7.8375,12.2763,3046,0,0
-7.8127,12.3488,3064,0,0
-7.7879,12.3287,3059,0,0
-7.7631,12.2924,3050,0,0
-7.7383,12.5383,3111,0,0
-7.7135,12.3609,3067,0,0
-7.6887,12.3045,3053,0,0
-7.6639,12.2682,3044,0,0
-7.6391,12.2803,3047,0,0
-7.6143,12.2803,3047,0,0
-7.5895,12.3206,3057,0,0
-7.5647,12.2763,3046,0,0
-7.5399,12.2521,3040,0,0
-7.5151,12.3287,3059,0,0
-7.4903,12.3166,3056,0,0
-7.4655,12.2521,3040,0,0
-7.4407,12.2844,3048,0,0
-7.4159,12.3206,3057,0,0
-7.3911,12.2924,3050,0,0
-7.3663,12.2521,3040,0,0
-7.3415,12.2602,3042,0,0
-7.3167,12.3569,3066,0,0
-7.2919,12.3247,3058,0,0
-7.2671,12.2844,3048,0,0
-7.2423,12.2763,3046,0,0
-7.2175,12.4536,3090,0,0
-7.1927,12.3529,3065,0,0
-7.1679,12.2682,3044,0,0
-7.1431,12.2844,3048,0,0
-7.1183,12.3005,3052,0,0
-7.0935,12.3287,3059,0,0
-7.0687,12.2803,3047,0,0
-7.0439,12.2602,3042,0,0
-7.0191,12.2441,3038,0,0
-6.9943,12.3569,3066,0,0
-6.9695,12.2803,3047,0,0
-6.9447,12.3126,3055,0,0
-6.9199,12.2602,3042,0,0
-6.8951,12.2965,3051,0,0
-6.8703,12.3126,3055,0,0
-6.8454,12.2924,3050,0,0
-6.8206,12.2844,3048,0,0
-6.7958,12.2763,3046,0,0
-6.7710,12.3287,3059,0,0
-6.7462,12.3085,3054,0,0
-6.7214,12.3085,3054,0,0
-6.6966,12.2844,3048,0,0
-6.6718,12.3569,3066,0,0
-6.6470,12.3206,3057,0,0
-6.6222,12.2803,3047,0,0
-6.5974,12.2602,3042,0,0
-6.5726,12.2803,3047,0,0
-6.5478,12.3166,3056,0,0
-6.5230,12.2844,3048,0,0
-6.4982,12.2924,3050,0,0
-6.4734,12.2521,3040,0,0
-6.4486,12.3166,3056,0,0
-6.4238,12.3206,3057,0,0
-6.3990,12.2602,3042,0,0
-6.3742,12.2521,3040,0,0
-6.3494,12.3488,3064,0,0
-6.3246,12.3206,3057,0,0
-6.2998,12.2682,3044,0,0
-6.2750,12.2602,3042,0,0
-6.2502,12.3206,3057,0,0
-6.2254,12.2803,3047,0,0
-6.2006,12.2803,3047,0,0
-6.1758,12.2965,3051,0,0
-6.1510,12.2360,3036,0,0
-6.1262,12.3085,3054,0,0
-6.1014,12.2965,3051,0,0
-6.0766,12.3287,3059,0,0
-6.0518,12.2521,3040,0,0
-6.0270,12.3166,3056,0,0
-6.0022,12.3166,3056,0,0
-5.9774,12.2803,3047,0,0
-5.9526,12.2803,3047,0,0
-5.9278,12.3126,3055,0,0
-5.9030,12.2924,3050,0,0
-5.8782,12.2965,3051,0,0
-5.8534,12.2360,3036,0,0
-5.8286,12.3609,3067,0,0
-5.8037,12.2924,3050,0,0
-5.7789,12.3126,3055,0,0
-5.7541,12.2682,3044,0,0
-5.7293,12.3730,3070,0,0
-5.7045,12.3488,3064,0,0
-5.6797,12.2965,3051,0,0
-5.6549,12.2320,3035,0,0
-5.6301,12.2924,3050,0,0
-5.6053,12.3730,3070,0,0
-5.5805,12.3126,3055,0,0
-5.5557,12.3166,3056,0,0
-5.5309,12.2844,3048,0,0
-5.5061,12.3085,3054,0,0
-5.4813,12.3206,3057,0,0
-5.4565,12.2844,3048,0,0
-5.4317,12.2602,3042,0,0
-5.4069,12.3166,3056,0,0
-5.3821,12.2924,3050,0,0
-5.3573,12.3206,3057,0,0
-5.3325,12.2199,3032,0,0
-5.3077,12.3206,3057,0,0
-5.2829,12.3206,3057,0,0
-5.2581,12.2682,3044,0,0
-5.2333,12.2803,3047,0,0
-5.2085,12.3771,3071,0,0
-5.1837,12.2521,3040,0,0
-5.1589,12.3085,3054,0,0
-5.1341,12.2844,3048,0,0
-5.1093,12.2844,3048,0,0
-5.0845,12.2682,3044,0,0
-5.0597,12.3206,3057,0,0
-5.0349,12.2682,3044,0,0
-5.0101,12.2803,3047,0,0
-4.9853,12.3166,3056,0,0
-4.9605,12.2965,3051,0,0
-4.9357,12.2682,3044,0,0
-4.9109,12.2481,3039,0,0
-4.8861,12.2602,3042,0,0
-4.8613,12.2803,3047,0,0
-4.8365,12.3206,3057,0,0
-4.8117,12.2199,3032,0,0
-4.7869,12.2763,3046,0,0
-4.7621,12.3488,3064,0,0
-4.7372,12.3166,3056,0,0
-4.7124,12.2763,3046,0,0
-4.6876,12.2844,3048,0,0
-4.6628,12.3005,3052,0,0
-4.6380,12.2441,3038,0,0
-4.6132,12.3206,3057,0,0
-4.5884,12.2521,3040,0,0
-4.5636,12.3569,3066,0,0
-4.5388,12.3166,3056,0,0
-4.5140,12.2763,3046,0,0
-4.4892,12.2602,3042,0,0
-4.4644,12.3206,3057,0,0
-4.4396,12.2844,3048,0,0
-4.4148,12.2682,3044,0,0
-4.3900,12.2602,3042,0,0
-4.3652,12.2602,3042,0,0
-4.3404,12.2521,3040,0,0
-4.3156,12.3247,3058,0,0
-4.2908,12.2803,3047,0,0
-4.2660,12.2844,3048,0,0
-4.2412,12.3206,3057,0,0
-4.2164,12.2320,3035,0,0
-4.1916,12.3085,3054,0,0
-4.1668,12.2844,3048,0,0
-4.1420,12.2803,3047,0,0
-4.1172,12.2844,3048,0,0
-4.0924,12.2924,3050,0,0
-4.0676,12.2199,3032,0,0
-4.0428,12.3287,3059,0,0
-4.0180,12.3327,3060,0,0
-3.9932,12.3005,3052,0,0
-3.9684,12.2481,3039,0,0
-3.9436,12.2682,3044,0,0
-3.9188,12.3206,3057,0,0
-3.8940,12.2521,3040,0,0
-3.8692,12.3045,3053,0,0
-3.8444,12.3488,3064,0,0
-3.8196,12.3488,3064,0,0
-3.7948,12.2844,3048,0,0
-3.7700,12.3126,3055,0,0
-3.7452,12.2763,3046,0,0
-3.7204,12.3448,3063,0,0
-3.6955,12.3166,3056,0,0
-3.6707,12.2723,3045,0,0
-3.6459,12.2682,3044,0,0
-3.6211,12.3488,3064,0,0
-3.5963,12.3488,3064,0,0
-3.5715,12.2965,3051,0,0
-3.5467,12.2844,3048,0,0
-3.5219,12.3166,3056,0,0
-3.4971,12.3287,3059,0,0
-3.4723,12.3005,3052,0,0
-3.4475,12.2844,3048,0,0
-3.4227,12.3529,3065,0,0
-3.3979,12.2844,3048,0,0
-3.3731,12.3206,3057,0,0
-3.3483,12.2763,3046,0,0
-3.3235,12.3126,3055,0,0
-3.2987,12.2924,3050,0,0
-3.2739,12.2803,3047,0,0
-3.2491,12.2602,3042,0,0
-3.2243,12.3085,3054,0,0
-3.1995,12.3206,3057,0,0
-3.1747,12.2682,3044,0,0
-3.1499,12.2602,3042,0,0
-3.1251,12.3730,3070,0,0
-3.1003,12.2803,3047,0,0
-3.0755,12.3085,3054,0,0
-3.0507,12.2763,3046,0,0
-3.0259,12.3085,3054,0,0
-3.0011,12.2844,3048,0,0
-2.9763,12.2965,3051,0,0
-2.9515,12.3126,3055,0,0
-2.9267,12.3247,3058,0,0
-2.9019,12.3126,3055,0,0
-2.8771,12.2844,3048,0,0
-2.8523,12.2682,3044,0,0
-2.8275,12.3488,3064,0,0
-2.8027,12.3126,3055,0,0
-2.7779,12.3206,3057,0,0
-2.7531,12.2521,3040,0,0
-2.7283,12.3206,3057,0,0
-2.7035,12.3085,3054,0,0
-2.6787,12.2602,3042,0,0
-2.6539,12.2602,3042,0,0
-2.6290,12.3166,3056,0,0
-2.6042,12.2924,3050,0,0
-2.5794,12.2803,3047,0,0
-2.5546,12.2803,3047,0,0
-2.5298,12.3166,3056,0,0
-2.5050,12.3206,3057,0,0
-2.4802,12.2844,3048,0,0
-2.4554,12.2844,3048,0,0
-2.4306,12.2521,3040,0,0
-2.4058,12.3206,3057,0,0
-2.3810,12.3488,3064,0,0
-2.3562,12.2803,3047,0,0
-2.3314,12.2844,3048,0,0
-2.3066,12.3488,3064,0,0
-2.2818,12.3085,3054,0,0
-2.2570,12.2360,3036,0,0
-2.2322,12.2803,3047,0,0
-2.2074,12.3448,3063,0,0
-2.1826,12.2763,3046,0,0
-2.1578,12.2803,3047,0,0
-2.1330,12.2763,3046,0,0
-2.1082,12.2844,3048,0,0
-2.0834,12.3166,3056,0,0
-2.0586,12.2763,3046,0,0
-2.0338,12.2803,3047,0,0
-2.0090,12.3206,3057,0,0
-1.9842,12.2844,3048,0,0
-1.9594,12.2360,3036,0,0
-1.9346,12.2844,3048,0,0
-1.9098,12.3488,3064,0,0
-1.8850,12.2844,3048,0,0
-1.8602,12.3166,3056,0,0
-1.8354,12.2844,3048,0,0
-1.8106,12.2763,3046,0,0
-1.7858,12.3085,3054,0,0
-1.7610,12.2602,3042,0,0
-1.7362,12.2924,3050,0,0
-1.7114,12.3488,3064,0,0
-1.6866,12.2682,3044,0,0
-1.6618,12.3005,3052,0,0
-1.6370,12.3166,3056,0,0
-1.6122,12.3166,3056,0,0
-1.5874,12.2803,3047,0,0
-1.5625,12.2844,3048,0,0
-1.5377,12.2965,3051,0,0
-1.5129,12.2763,3046,0,0
-1.4881,12.2803,3047,0,0
-1.4633,12.3488,3064,0,0
-1.4385,12.2521,3040,0,0
-1.4137,12.3206,3057,0,0
-1.3889,12.3448,3063,0,0
-1.3641,12.3206,3057,0,0
-1.3393,12.2924,3050,0,0
-1.3145,12.3529,3065,0,0
