Designator,Mid X,Mid Y,Layer,Rotation
C1,35.5,-6.5,Top,0.0
C5,67.5,-30.12,Top,90.0
C7,41.4,-37.4,Top,0.0
D1,51.0,-7.0,Top,270.0
R1,31.0,-6.5,Top,0.0
R2,39.91,-6.4,Top,0.0
R3,47.0,-7.09,Top,90.0
R4,63.5,-30.12,Top,90.0
R5,65.5,-30.12,Top,90.0
R6,54.8,-29.9,Top,0.0
R7,26.74,-31.0,Top,90.0
SW1,16.0,-4.0,Top,0.0
U1,43.3,-31.7,Top,180.0
